collegeStart,collegeEnd,distance
"University of California, Irvine (UCI)",Ohio State University,2248
"University of California, Irvine (UCI)",Saddleback College,16
"University of California, Irvine (UCI)",University of Michigan,2245
"University of California, Irvine (UCI)","University of California, Los Angeles (UCLA)",51
"University of California, Irvine (UCI)",University of Oregon,899
"University of California, Irvine (UCI)",University of the Pacific,383
"University of California, Irvine (UCI)",University of Wisconsin,1978
"University of California, Los Angeles (UCLA)",Arizona State University,397
"University of California, Los Angeles (UCLA)",Massachusetts Institute of Technology (MIT),2998
"University of California, Los Angeles (UCLA)",Northwestern,2043
"University of California, Los Angeles (UCLA)",Ohio State University,2261
"University of California, Los Angeles (UCLA)",Saddleback College,66.3
"University of California, Los Angeles (UCLA)",University of Michigan,2252
"University of California, Los Angeles (UCLA)","University of California, Irvine (UCI)",51.5
"University of California, Los Angeles (UCLA)",University of Oregon,849
"University of California, Los Angeles (UCLA)",University of the Pacific,333
"University of California, Los Angeles (UCLA)",University of Wisconsin,1991
University of Oregon,Arizona State University,1343
University of Oregon,Massachusetts Institute of Technology (MIT),3107
University of Oregon,Northwestern,2151
University of Oregon,Ohio State University,2241
University of Oregon,Saddleback College,906
University of Oregon,University of Michigan,2347
University of Oregon,"University of California, Irvine (UCI)",899
University of Oregon,"University of California, Los Angeles (UCLA)",849
University of Oregon,University of the Pacific,517
University of Oregon,University of Wisconsin,2111
University of the Pacific,Arizona State University,720
University of the Pacific,Massachusetts Institute of Technology (MIT),3057
University of the Pacific,Northwestern,2102
University of the Pacific,Ohio State University,2412
University of the Pacific,Saddleback College,390
University of the Pacific,University of Michigan,2318
University of the Pacific,"University of California, Irvine (UCI)",383
University of the Pacific,"University of California, Los Angeles (UCLA)",333
University of the Pacific,University of Oregon,517
University of the Pacific,University of Wisconsin,2052
University of Wisconsin,Arizona State University,1684
University of Wisconsin,Massachusetts Institute of Technology (MIT),1125
University of Wisconsin,Northwestern,145
University of Wisconsin,Ohio State University,503
University of Wisconsin,Saddleback College,1981
University of Wisconsin,University of Michigan,391
University of Wisconsin,"University of California, Irvine (UCI)",1978
University of Wisconsin,"University of California, Los Angeles (UCLA)",1991
University of Wisconsin,University of Oregon,2111
University of Wisconsin,University of the Pacific,2052
Arizona State University,"California State University, Fullerton",364
Arizona State University,University of Texas,1007
Massachusetts Institute of Technology (MIT),"California State University, Fullerton",2968
Massachusetts Institute of Technology (MIT),University of Texas,1959
Northwestern,"California State University, Fullerton",2013
Northwestern,University of Texas,1311
Ohio State University,"California State University, Fullerton",2231
Ohio State University,University of Texas,1235
Saddleback College,"California State University, Fullerton",29.3
Saddleback College,University of Texas,1378
"University of California, Irvine (UCI)","California State University, Fullerton",20.2
"University of California, Irvine (UCI)",University of Texas,1375
"University of California, Los Angeles (UCLA)","California State University, Fullerton",47.9
"University of California, Los Angeles (UCLA)",University of Texas,1396
University of Michigan,"California State University, Fullerton",2229
University of Michigan,University of Texas,1368
University of Oregon,"California State University, Fullerton",884
University of Oregon,University of Texas,2073
University of the Pacific,"California State University, Fullerton",368
University of the Pacific,University of Texas,1720
University of Wisconsin,"California State University, Fullerton",1963
University of Wisconsin,University of Texas,1183
"California State University, Fullerton",Arizona State University,364
"California State University, Fullerton",Massachusetts Institute of Technology (MIT),2968
"California State University, Fullerton",Northwestern,2013
"California State University, Fullerton",Ohio State University,2231
"California State University, Fullerton",Saddleback College,29.3
"California State University, Fullerton","University of California, Irvine (UCI)",20.2
"California State University, Fullerton","University of California, Los Angeles (UCLA)",47.9
"California State University, Fullerton",University of Michigan,2229
"California State University, Fullerton",University of Oregon,884
"California State University, Fullerton",University of the Pacific,368
"California State University, Fullerton",University of Texas,1758
"California State University, Fullerton",University of Wisconsin,1963
University of Texas,Arizona State University,1007
University of Texas,"California State University, Fullerton",1758
University of Texas,Massachusetts Institute of Technology (MIT),1959
University of Texas,Northwestern,1311
University of Texas,Ohio State University,1235
University of Texas,Saddleback College,1378
University of Texas,"University of California, Irvine (UCI)",1375
University of Texas,"University of California, Los Angeles (UCLA)",1396
University of Texas,University of Michigan,1368
University of Texas,University of Oregon,2073
University of Texas,University of the Pacific,1720
University of Texas,University of Wisconsin,1183
